Date,Store listing visitors: All traffic sources,Store listing acquisitions: All traffic sources,Store listing conversion rate: All traffic sources,Store listing conversion rate: Peers' median (All traffic sources),Store listing conversion rate: 25th percentile (All traffic sources),Store listing conversion rate: 75th percentile (All traffic sources),Notes
23 May 2022,11,4,36.36%,20.07%,12.5%,29.69%,
24 May 2022,14,2,14.29%,19.72%,12.25%,29.62%,
25 May 2022,13,0,0%,19.5%,12.06%,29.17%,
26 May 2022,14,2,14.29%,19.79%,12.26%,29.45%,
27 May 2022,14,4,28.57%,19.59%,12.05%,29.08%,
28 May 2022,25,11,44%,19.59%,11.92%,29.03%,
29 May 2022,21,4,19.05%,19.81%,12.26%,29.62%,
30 May 2022,26,11,42.31%,19.86%,12.24%,29.61%,
31 May 2022,14,4,28.57%,19.73%,12.14%,29.42%,
1 Jun 2022,11,0,0%,19.51%,11.99%,29.33%,
2 Jun 2022,16,5,31.25%,19.68%,12.23%,29.44%,
3 Jun 2022,21,4,19.05%,19.3%,11.89%,29.11%,
4 Jun 2022,34,2,5.88%,19.29%,11.89%,28.99%,
5 Jun 2022,55,14,25.45%,19.29%,12.13%,28.88%,
6 Jun 2022,31,8,25.81%,19.55%,12.18%,29.28%,
7 Jun 2022,39,8,20.51%,19.49%,12.3%,29.47%,
8 Jun 2022,33,11,33.33%,19.48%,12.2%,29.68%,
9 Jun 2022,39,9,23.08%,19.57%,12.08%,29.6%,
10 Jun 2022,51,9,17.65%,19.56%,12.16%,29.36%,
11 Jun 2022,26,5,19.23%,19.65%,12.13%,29.48%,
12 Jun 2022,40,7,17.5%,20%,12.47%,29.77%,
13 Jun 2022,40,10,25%,20%,12.44%,29.94%,
14 Jun 2022,45,14,31.11%,20.03%,12.41%,29.55%,
15 Jun 2022,32,13,40.63%,20.06%,12.54%,29.8%,
16 Jun 2022,28,5,17.86%,20.13%,12.5%,29.7%,
17 Jun 2022,40,9,22.5%,20.05%,12.4%,29.8%,
18 Jun 2022,37,6,16.22%,19.73%,12.29%,29.51%,
19 Jun 2022,34,8,23.53%,20%,12.43%,29.78%,
20 Jun 2022,32,7,21.88%,20.15%,12.5%,29.8%,
21 Jun 2022,29,7,24.14%,20%,12.41%,29.66%,
22 Jun 2022,38,5,13.16%,20.1%,12.5%,29.68%,
23 Jun 2022,29,5,17.24%,20.07%,12.5%,29.56%,
24 Jun 2022,29,5,17.24%,19.99%,12.37%,29.43%,
25 Jun 2022,44,8,18.18%,19.54%,12.29%,29.3%,
26 Jun 2022,44,13,29.55%,20.09%,12.66%,29.63%,
