Traffic source,Store listing visitors,Store listing visitors vs previous period,Store listing acquisitions,Store listing acquisitions vs previous period,Store listing conversion rate,Store listing conversion rate vs previous period,Peers' 28-day conversion rate: Puzzle (25th percentile),Peers' 28-day conversion rate: Puzzle (50th percentile),Peers' 28-day conversion rate: Puzzle (75th percentile)
All traffic sources,"2,728",-,710,-,26.03%,-,12.84%,20.44%,29.79%
Google Play search,"2,605",-,656,-,25.18%,-,12.42%,19.89%,29.65%
Third-party referrals,85,-,47,-,55.29%,-,11.76%,21.85%,36.16%
Google Play explore,38,-,7,-,18.42%,-,11.57%,17.62%,27.42%
